1,Событие закрытия чека в EventsReceiver,1737104673363,686
2,Распакованное событие закрытия чека 2f36889d-6740-4af8-8a65-06165363099e,1737104674049,109
3,Вызван метод закрытия чека 2f36889d-6740-4af8-8a65-06165363099e.,1737104674158,1245
4,ActionsService with action ACTION_RECEIPT_CLOSED,1737104675403,33
5,Чеков в очереди 1,1737104675436,20
6,Чеки в очереди 2f36889d-6740-4af8-8a65-06165363099e,1737104675456,409
7,Чек 2f36889d-6740-4af8-8a65-06165363099e не содержит extra,1737104675865,7
8,Обработан чек 2f36889d-6740-4af8-8a65-06165363099e,1737104675872,7
9,Все чеки обработаны,1737104675879,14
10,Очередь чеков очищена,1737104675893,159137
11,Событие закрытия чека в EventsReceiver,1737104835030,111
12,Распакованное событие закрытия чека efd2ff71-1dba-4b1e-925d-bfa830c5cf0d,1737104835141,77
13,Вызван метод закрытия чека efd2ff71-1dba-4b1e-925d-bfa830c5cf0d.,1737104835218,74
14,ActionsService with action ACTION_RECEIPT_CLOSED,1737104835292,71
15,Чеков в очереди 1,1737104835363,47
16,Чеки в очереди efd2ff71-1dba-4b1e-925d-bfa830c5cf0d,1737104835410,2170
17,Чек efd2ff71-1dba-4b1e-925d-bfa830c5cf0d не содержит extra,1737104837580,13
18,Обработан чек efd2ff71-1dba-4b1e-925d-bfa830c5cf0d,1737104837593,6
19,Все чеки обработаны,1737104837599,18
20,Очередь чеков очищена,1737104837617,252624
21,Событие закрытия чека в EventsReceiver,1737105090241,24
22,Распакованное событие закрытия чека 7dec1649-58ce-4f28-ac26-c23826ad1673,1737105090265,32
23,Вызван метод закрытия чека 7dec1649-58ce-4f28-ac26-c23826ad1673.,1737105090297,59
24,ActionsService with action ACTION_RECEIPT_CLOSED,1737105090356,52
25,Чеков в очереди 1,1737105090408,65
26,Чеки в очереди 7dec1649-58ce-4f28-ac26-c23826ad1673,1737105090473,2623
27,Чек 7dec1649-58ce-4f28-ac26-c23826ad1673 не содержит extra,1737105093096,7
28,Обработан чек 7dec1649-58ce-4f28-ac26-c23826ad1673,1737105093103,7
29,Все чеки обработаны,1737105093110,12
30,Очередь чеков очищена,1737105093122,33420
31,Событие закрытия чека в EventsReceiver,1737105126542,40
32,Распакованное событие закрытия чека afc43100-346b-44ad-b9a5-1f27a3d1cb69,1737105126582,56
33,Вызван метод закрытия чека afc43100-346b-44ad-b9a5-1f27a3d1cb69.,1737105126638,83
34,ActionsService with action ACTION_RECEIPT_CLOSED,1737105126721,115
35,Чеков в очереди 1,1737105126836,42
36,Чеки в очереди afc43100-346b-44ad-b9a5-1f27a3d1cb69,1737105126878,1873
37,Чек afc43100-346b-44ad-b9a5-1f27a3d1cb69 не содержит extra,1737105128751,35
38,Обработан чек afc43100-346b-44ad-b9a5-1f27a3d1cb69,1737105128786,17
39,Все чеки обработаны,1737105128803,54
40,Очередь чеков очищена,1737105128857,563654
41,Событие закрытия чека в EventsReceiver,1737105692511,38
42,Распакованное событие закрытия чека 8c8f7238-dd1e-4193-9e24-2b7e26dd5d8e,1737105692549,25
43,Вызван метод закрытия чека 8c8f7238-dd1e-4193-9e24-2b7e26dd5d8e.,1737105692574,38
44,ActionsService with action ACTION_RECEIPT_CLOSED,1737105692612,65
45,Чеков в очереди 1,1737105692677,30
46,Чеки в очереди 8c8f7238-dd1e-4193-9e24-2b7e26dd5d8e,1737105692707,1788
47,Чек 8c8f7238-dd1e-4193-9e24-2b7e26dd5d8e не содержит extra,1737105694495,87
48,Обработан чек 8c8f7238-dd1e-4193-9e24-2b7e26dd5d8e,1737105694582,35
49,Все чеки обработаны,1737105694617,79
50,Очередь чеков очищена,1737105694696,208343
51,Событие закрытия чека в EventsReceiver,1737105903039,32
52,Распакованное событие закрытия чека da273db9-402d-4845-a3c2-86dedff6d42a,1737105903071,54
53,Вызван метод закрытия чека da273db9-402d-4845-a3c2-86dedff6d42a.,1737105903125,38
54,ActionsService with action ACTION_RECEIPT_CLOSED,1737105903163,62
55,Чеков в очереди 1,1737105903225,54
56,Чеки в очереди da273db9-402d-4845-a3c2-86dedff6d42a,1737105903279,2074
57,Чек da273db9-402d-4845-a3c2-86dedff6d42a не содержит extra,1737105905353,22
58,Обработан чек da273db9-402d-4845-a3c2-86dedff6d42a,1737105905375,6
59,Все чеки обработаны,1737105905381,13
60,Очередь чеков очищена,1737105905394,201079
61,Событие закрытия чека в EventsReceiver,1737106106473,66
62,Распакованное событие закрытия чека 0f8acf60-06ba-42aa-9c51-f19f1326d36c,1737106106539,194
63,Вызван метод закрытия чека 0f8acf60-06ba-42aa-9c51-f19f1326d36c.,1737106106733,114
64,ActionsService with action ACTION_RECEIPT_CLOSED,1737106106847,72
65,Чеков в очереди 1,1737106106919,45
66,Чеки в очереди 0f8acf60-06ba-42aa-9c51-f19f1326d36c,1737106106964,2575
67,Чек 0f8acf60-06ba-42aa-9c51-f19f1326d36c не содержит extra,1737106109539,37
68,Обработан чек 0f8acf60-06ba-42aa-9c51-f19f1326d36c,1737106109576,31
69,Все чеки обработаны,1737106109607,13
70,Очередь чеков очищена,1737106109620,135005
71,Событие закрытия чека в EventsReceiver,1737106244625,29
72,Распакованное событие закрытия чека 90ac3f90-4399-4cc8-878b-d4a8d1b7235a,1737106244654,34
